Date,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,WnvPresent,year,month,NumMosquitos,source,Id,cluster,2nd cluster,Numwnv,Tavg,DewPoint,WetBulb,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,SeaLevel,ResultSpeed,AvgSpeed,Month
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11.0, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8.0,0.0,2007.0,5.0,1.0,Train,,0,17,0.0,77.0,59,66.0,421,1917,BR HZ,0,,0.0,0.0,30.09,5.8,7.4,May
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11.0, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8.0,0.0,2007.0,5.0,2.0,Train,,0,17,0.0,77.0,59,66.0,421,1917,BR HZ,0,,0.0,0.0,30.09,5.8,7.4,May
2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",CULEX RESTUANS,11.0, S PEORIA ST,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8.0,0.0,2007.0,5.0,1.0,Train,,0,17,0.0,77.0,59,66.0,421,1917,BR HZ,0,,0.0,0.0,30.09,5.8,7.4,May
2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,17.0, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9.0,0.0,2007.0,5.0,3.0,Train,,0,1,0.0,77.0,59,66.0,421,1917,BR HZ,0,,0.0,0.0,30.09,5.8,7.4,May
2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22.0, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8.0,0.0,2007.0,5.0,1.0,Train,,0,5,0.0,77.0,59,66.0,421,1917,BR HZ,0,,0.0,0.0,30.09,5.8,7.4,May
2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22.0, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8.0,0.0,2007.0,5.0,1.0,Train,,0,5,0.0,77.0,59,66.0,421,1917,BR HZ,0,,0.0,0.0,30.09,5.8,7.4,May
2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22.0, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8.0,0.0,2007.0,5.0,1.0,Train,,0,1,0.0,77.0,59,66.0,421,1917,BR HZ,0,,0.0,0.0,30.09,5.8,7.4,May
2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22.0, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8.0,0.0,2007.0,5.0,5.0,Train,,0,1,0.0,77.0,59,66.0,421,1917,BR HZ,0,,0.0,0.0,30.09,5.8,7.4,May
2007-05-29,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX RESTUANS,89.0, S CARPENTER ST,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8.0,0.0,2007.0,5.0,1.0,Train,,0,1,0.0,77.0,59,66.0,421,1917,BR HZ,0,,0.0,0.0,30.09,5.8,7.4,May
2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,53.0, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5.0,0.0,2007.0,5.0,1.0,Train,,0,20,0.0,77.0,59,66.0,421,1917,BR HZ,0,,0.0,0.0,30.09,5.8,7.4,May
